time,all_num_保利发展,all_dic_score,保利发展舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-10-03,6,2.00,0.33,4,4.00,2,-2.00
2021-10-04,4,-2.00,-0.42,1,1.00,3,-3.00
2021-10-05,2,0.00,0.37,1,1.00,1,-1.00
2021-10-06,4,4.00,1.00,4,4.00,0,0.00
2021-10-07,12,8.00,0.79,10,10.00,2,-2.00
2021-10-08,50,20.00,0.47,35,35.00,15,-15.00
2021-10-09,10,4.00,0.58,7,7.00,3,-3.00
2021-10-10,8,2.00,0.45,5,5.00,3,-3.00
2021-10-11,45,23.00,0.68,34,34.00,11,-11.00
2021-10-12,98,40.00,0.59,69,69.00,29,-29.00
2021-10-13,60,24.00,0.56,42,42.00,18,-18.00
2021-10-14,80,28.00,0.26,54,54.00,26,-26.00
2021-10-15,57,11.00,0.34,34,34.00,23,-23.00
2021-10-16,17,7.00,0.25,12,12.00,5,-5.00
2021-10-17,13,5.00,0.44,9,9.00,4,-4.00
2021-10-18,90,10.00,0.30,50,50.00,40,-40.00
2021-10-19,96,24.00,0.39,60,60.00,36,-36.00
2021-10-20,63,19.00,0.28,41,41.00,22,-22.00
2021-10-21,70,26.00,0.54,48,48.00,22,-22.00
2021-10-22,178,60.00,0.40,119,119.00,59,-59.00
2021-10-23,37,13.00,0.54,25,25.00,12,-12.00
2021-10-24,56,28.00,0.40,42,42.00,14,-14.00
2021-10-25,109,51.00,0.67,80,80.00,29,-29.00
2021-10-26,91,39.00,0.46,65,65.00,26,-26.00
2021-10-27,38,10.00,0.26,24,24.00,14,-14.00
2021-10-28,67,29.00,0.55,48,48.00,19,-19.00
2021-10-29,112,32.00,0.56,72,72.00,40,-40.00
2021-10-30,19,11.00,0.70,15,15.00,4,-4.00
2021-10-31,14,2.00,0.15,8,8.00,6,-6.00
2021-11-01,67,21.00,0.54,44,44.00,23,-23.00
2021-11-02,77,3.00,0.17,40,40.00,37,-37.00
2021-11-03,104,44.00,0.61,74,74.00,30,-30.00
2021-11-04,66,30.00,0.65,48,48.00,18,-18.00
2021-11-05,64,4.00,0.24,34,34.00,30,-30.00
2021-11-06,8,6.00,0.83,7,7.00,1,-1.00
2021-11-07,9,3.00,0.79,6,6.00,3,-3.00
2021-11-08,35,11.00,0.54,23,23.00,12,-12.00
2021-11-09,35,15.00,0.55,25,25.00,10,-10.00
2021-11-10,165,59.00,0.58,112,112.00,53,-53.00
2021-11-11,277,95.00,0.47,186,186.00,91,-91.00
2021-11-12,54,12.00,0.45,33,33.00,21,-21.00
2021-11-13,20,8.00,0.46,14,14.00,6,-6.00
2021-11-14,8,6.00,0.86,7,7.00,1,-1.00
2021-11-15,82,38.00,0.58,60,60.00,22,-22.00
2021-11-16,39,13.00,0.62,26,26.00,13,-13.00
2021-11-17,31,19.00,0.84,25,25.00,6,-6.00
2021-11-18,49,19.00,0.51,34,34.00,15,-15.00
2021-11-19,112,26.00,0.42,69,69.00,43,-43.00
2021-11-20,18,6.00,0.18,12,12.00,6,-6.00
2021-11-21,12,8.00,-0.74,10,10.00,2,-2.00
2021-11-22,144,56.00,0.55,100,100.00,44,-44.00
2021-11-23,74,30.00,0.79,52,52.00,22,-22.00
2021-11-24,101,37.00,0.45,69,69.00,32,-32.00
2021-11-25,50,20.00,0.45,35,35.00,15,-15.00
2021-11-26,103,39.00,-0.50,71,71.00,32,-32.00
2021-11-27,7,7.00,1.00,7,7.00,0,0.00
2021-11-28,15,7.00,0.50,11,11.00,4,-4.00
2021-11-29,45,11.00,0.31,28,28.00,17,-17.00
2021-11-30,69,27.00,0.58,48,48.00,21,-21.00
2021-12-01,81,35.00,0.45,58,58.00,23,-23.00
2021-12-02,73,25.00,0.42,49,49.00,24,-24.00
2021-12-03,46,22.00,0.56,34,34.00,12,-12.00
2021-12-04,10,10.00,1.00,10,10.00,0,0.00
2021-12-05,14,10.00,0.63,12,12.00,2,-2.00
2021-12-06,105,23.00,0.31,64,64.00,41,-41.00
2021-12-07,130,46.00,0.44,88,88.00,42,-42.00
2021-12-08,65,29.00,0.52,47,47.00,18,-18.00
2021-12-09,68,28.00,0.53,48,48.00,20,-20.00
2021-12-10,87,45.00,0.64,66,66.00,21,-21.00
