time,no,review,score,read_volume
2022/6/27,69,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '废物', '狗']",-1,208
2022/6/27,70,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '大盘', '大升', '他', '不升', '，', '垃圾']",-1,189
2022/6/27,71,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '什么', '时候', '龙', '回头']",5,638
2022/6/27,72,"['下周一', '低开', '几个', '点', '？', '！']",-1,1171
2022/6/27,73,"['去求', '吧', '，', '撤退', '，', '没有', '反弹', '的', '意思']",-2,222
2022/6/27,74,"['这个', '什么', '律师', '事务部', '，', '是', '正规', '的', '吗', '？']",3,392
2022/6/27,75,"['今天', '开始', '起飞', '了', '吗', '？']",1,471
2022/6/27,76,"['快点', '拉个', '涨停', '再', '拉', '下来', '。', '我', '就', '可以', '抱', '了', '。']",1,207
2022/6/27,77,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '传媒', '板块', '都', '三个', '涨停', '了', '，', '真是', '过气', '龙']",-4,540
2022/6/27,78,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '第三次', '跑', '进来', '粤', '传媒', '，', '一直', '没振仓', '，']",0,1027
2022/6/27,79,"['友情', '提示', '：', '你', '下载', '反诈', 'app', '了', '吗', '？']",5,204
2022/6/27,80,"['亏', '就', '亏', '！', '折磨', '死', '了', '！']",-2,1122
2022/6/27,81,"['粤', '传媒', '：', '连续', '3', '日', '融资', '净', '买入', '累计', '194.95', '万元', '（', '06', '-', '24', '）']",0,316
2022/6/27,82,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '打板', '客', '应该', '错过', '指数', '行情', '还', '套住', '浮亏']",-2.5,236
2022/6/27,83,"['明天', '跌', '的', '理由', '，', '唱', '多', '的', '大有人在', '，', '其一', '，', '律师', '团队', '也', '在', '，']",-1,306
2022/6/27,84,"['此股', '距离', '向下', '破位', '的', '时间', '不多', '了', '，', '奉劝', '不想', '被', '深套', '的', '朋友']",7,507
2022/6/26,85,"['粤', '传媒', '本周', '融资', '净', '偿还', '1051.05', '万元', '，', '居', '文化传媒', '板块', '第']",-1,823
2022/6/26,86,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '亏钱', '不卖', '是', '原则', '，', '但是', '这个', '特别', '恶心']",-10,1227
2022/6/25,87,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '这么', '多人', '满仓', '了', '，', '看来', '要涨', '了', '。']",1,659
2022/6/25,88,"['粤', '传媒', '抄底', '的', '人别', '高兴', '太早', '，', '节后', '就', '会', '跌停板']",0,857
2022/6/25,89,"['粤', '传媒', '，', '今天', '涨', '5', '分', '，', '明天', '又', '跌', '几毛', '垃圾', '，', '垃圾', '，', '垃圾', '，']",-3,397
2022/6/25,90,"['星期一', '要', '涨停', '了', '[', '鼓掌', ']']",1,1055
2022/6/25,91,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '哇', '喔', '，', '明天', '会', '涨停', '吗', '？', '[', '傲', ']', '高考', '结束']",1,258
2022/6/25,92,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '你', '有种', '，', '今天', '没', '涨停', '，', '下周一', '涨停', '。']",1,752
2022/6/25,93,"['明天', '不', '涨停', '也', '要大涨', '哈哈']",7,379
2022/6/25,94,"['来个', '涨停', '，', '我去', '天台', '等', '重生']",2,551
2022/6/25,95,"['这个', '股走', '的', '有点', '让', '我', '看不懂', '，', '因为', '底下', '的', '筹码', '就', '没', '松动', '的']",0,1720
2022/6/25,96,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '这个', '股太', '可怕', '了', '，', '高位', '跌下来', '，', '一个']",0,576
2022/6/25,97,"['我', '可以', '负责', '告诉', '大家', '这股', '套', '了', '我', '六七年', '，', '好', '在', '这波', '连本', '带']",5,735
2022/6/25,98,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '粤', '传媒', '暗庄', '太狠', '，', '当前', '仅', '持有', '1000', '手']",0,1063
2022/6/24,99,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '亏了', '就', '安心', '躺', '着', '呗', '，', '几块钱', '的', '股', '，', '还']",1,596
2022/6/24,100,"['粤全', '没', '不会', '真的', '跌', '的', '全', '没有', '了', '吧', '？', '？', '？', '[', '晕', ']']",-1,582
2022/6/24,101,"['到', '50', '亿', '了', '，', '俺', '来', '了', '[', '捂脸', ']']",0,627
2022/6/24,102,"['主力', '的', '织布机', '不错', '哈']",10,197
2022/6/24,103,['垃圾'],-1,165
2022/6/24,104,"['要', '吗', '你', '选跌', '，', '又', '吗', '你', '选涨', '。']",0,389
2022/6/24,105,"['闲着没事', '做', '预测', '一下', '收市', '，', '1', '，', '悲观', '的', '4.34', '。', '2', '.', '乐观的', '4.4']",0,452
2022/6/24,106,"['今天', '全仓', '了', '，', '明天', '是否', '吃面', '还是', '找']",0,595
2022/6/24,107,"['你', '主营', '织布机', '吗', '？']",0,202
2022/6/24,108,"['加油', '跌停', '吧', '！']",0,182
2022/6/24,109,"['此股', '烂泥', '扶不上', '墙']",0,196
2022/6/24,110,"['全仓', '上', '了', '，', '大不了', '做', '股东']",0,717
2022/6/24,111,"['已', '全仓', '挂单']",0,407
2022/6/24,112,"['大盘', '板块', '都', '带', '不动', '哈哈', '还好', '昨天', '买', '了', '美声']",7,202
2022/6/24,113,"['问', '一下', '，', '这股', '还会', '退市', '？', '现在', '没有', '人', '看', '报纸', '，', '前景', '不行', '！']",-9,541
2022/6/24,114,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '外面', '大好', '行情', '，', '被', '这杂', '毛', '深套', '住', '了']",6,501
2022/6/24,115,"['被', '粤', '传媒', '这个', '垃圾', '给', '套住', '[', '哭', ']', '[', '哭', ']', '[', '哭', ']']",-2,219
2022/6/24,116,"['怎么', '还', '不', '发工', '？', '，', '，', '来', '一个', '无胜', '心法', '。', '，', '，', '涨', '三个', '点', '就', '可']",-0.5,223
2022/6/24,117,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '狗庄', '，']",0,298
2022/6/24,118,"['，', '也', '得', '动动', '了']",0,191
2022/6/24,119,"['哎', '，', '有病']",-1,187
2022/6/24,120,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '废物']",-1,201
2022/6/24,121,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '垃圾']",-1,207
2022/6/24,122,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '垃圾']",-1,310
