time,all_num_中国化学,all_dic_score,中国化学舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021/11/17,73,15,0.05,44,44,29,-29
2021/11/18,80,30,0.2,55,55,25,-25
2021/11/19,82,36,0.42,59,59,23,-23
2021/11/20,10,6,0.39,8,8,2,-2
2021/11/21,10,10,1,10,10,0,0
2021/11/22,62,30,0.26,46,46,16,-16
2021/11/23,64,30,0.48,47,47,17,-17
2021/11/24,54,32,0.67,43,43,11,-11
2021/11/25,54,40,0.8,47,47,7,-7
2021/11/26,77,33,0.8,55,55,22,-22
2021/11/27,11,7,0.74,9,9,2,-2
2021/11/28,19,15,0.76,17,17,2,-2
2021/11/29,70,24,0.46,47,47,23,-23
2021/11/30,65,31,0.52,48,48,17,-17
2021/12/1,58,44,0.78,51,51,7,-7
2021/12/2,101,47,0.55,74,74,27,-27
2021/12/3,112,62,0.62,87,87,25,-25
2021/12/4,18,12,0.72,15,15,3,-3
2021/12/5,24,18,0.7,21,21,3,-3
2021/12/6,86,34,0.38,60,60,26,-26
2021/12/7,73,39,0.5,56,56,17,-17
2021/12/8,79,27,0.32,53,53,26,-26
2021/12/9,71,19,0.31,45,45,26,-26
2021/12/10,72,20,0.39,46,46,26,-26
2021/12/11,8,2,-0.02,5,5,3,-3
2021/12/12,9,5,0.39,7,7,2,-2
2021/12/13,124,54,0.42,89,89,35,-35
2021/12/14,201,67,0.41,134,134,67,-67
2021/12/15,91,35,0.37,63,63,28,-28
2021/12/16,80,24,0.39,52,52,28,-28
2021/12/17,78,38,0.37,58,58,20,-20
2021/12/18,17,9,0.48,13,13,4,-4
2021/12/19,20,14,0.74,17,17,3,-3
2021/12/20,66,36,0.63,51,51,15,-15
2021/12/21,93,29,0.54,61,61,32,-32
2021/12/22,71,45,0.68,58,58,13,-13
2021/12/23,80,20,0.31,50,50,30,-30
2021/12/24,49,21,0.21,35,35,14,-14
2021/12/25,10,4,0.67,7,7,3,-3
2021/12/26,12,4,0.33,8,8,4,-4
2021/12/27,67,21,0.25,44,44,23,-23
2021/12/28,80,26,0.37,53,53,27,-27
2021/12/29,51,23,0.55,37,37,14,-14
2021/12/30,59,17,0.33,38,38,21,-21
2021/12/31,43,13,0.23,28,28,15,-15
2022/1/1,4,4,1,4,4,0,0
2022/1/2,3,3,1,3,3,0,0
2022/1/3,7,5,0.57,6,6,1,-1
2022/1/4,72,34,0.43,53,53,19,-19
2022/1/5,51,17,0.47,34,34,17,-17
2022/1/6,44,6,0.13,25,25,19,-19
2022/1/7,35,23,0.8,29,29,6,-6
2022/1/8,7,3,0.44,5,5,2,-2
2022/1/9,5,5,1,5,5,0,0
2022/1/10,66,20,0.33,43,43,23,-23
2022/1/11,39,19,0.58,29,29,10,-10
2022/1/12,83,15,0.27,49,49,34,-34
2022/1/13,120,42,0.43,81,81,39,-39
2022/1/14,143,35,0.26,89,89,54,-54
2022/1/15,18,10,0.66,14,14,4,-4
2022/1/16,17,9,0.38,13,13,4,-4
2022/1/17,54,18,0.3,36,36,18,-18
2022/1/18,123,39,0.1,81,81,42,-42
2022/1/19,58,30,0.58,44,44,14,-14
2022/1/20,63,33,0.54,48,48,15,-15
2022/1/21,43,27,0.64,35,35,8,-8
2022/1/22,7,7,1,7,7,0,0
2022/1/23,11,11,1,11,11,0,0
2022/1/24,52,12,0.29,32,32,20,-20
2022/1/25,37,11,0.17,24,24,13,-13
2022/1/26,32,10,0.11,21,21,11,-11
2022/1/27,37,21,0.44,29,29,8,-8
2022/1/28,52,20,0.37,36,36,16,-16
2022/1/29,12,10,0.89,11,11,1,-1
2022/1/30,6,6,1,6,6,0,0
2022/1/31,2,2,1,2,2,0,0
2022/2/2,1,1,1,1,1,0,0
2022/2/3,1,1,1,1,1,0,0
2022/2/4,1,1,1,1,1,0,0
2022/2/6,3,3,1,3,3,0,0
2022/2/7,36,14,0.64,25,25,11,-11
2022/2/8,28,14,0.51,21,21,7,-7
2022/2/9,60,22,0.48,41,41,19,-19
2022/2/10,74,32,0.45,53,53,21,-21
2022/2/11,58,18,0.32,38,38,20,-20
2022/2/12,8,2,0.23,5,5,3,-3
2022/2/13,4,2,0.48,3,3,1,-1
2022/2/14,51,29,0.44,40,40,11,-11
2022/2/15,57,27,0.63,42,42,15,-15
2022/2/16,46,30,0.61,38,38,8,-8
2022/2/17,66,44,0.74,55,55,11,-11
2022/2/18,60,40,0.68,50,50,10,-10
2022/2/19,16,12,0.79,14,14,2,-2
2022/2/20,6,4,0.77,5,5,1,-1
2022/2/21,48,24,0.58,36,36,12,-12
2022/2/22,52,26,0.01,39,39,13,-13
2022/2/23,55,19,0.01,37,37,18,-18
2022/2/24,78,34,0.43,56,56,22,-22
2022/2/25,67,21,0.25,44,44,23,-23
2022/2/26,2,2,1,2,2,0,0
2022/2/27,13,9,0.74,11,11,2,-2
2022/2/28,73,37,0.44,55,55,18,-18
2022/3/1,92,38,0.49,65,65,27,-27
2022/3/2,93,41,0.41,67,67,26,-26
2022/3/3,146,68,0.56,107,107,39,-39
2022/3/4,88,38,0.38,63,63,25,-25
2022/3/5,19,15,0.85,17,17,2,-2
2022/3/6,12,10,0.77,11,11,1,-1
2022/3/7,88,46,0.45,67,67,21,-21
2022/3/8,167,31,0.27,99,99,68,-68
2022/3/9,140,68,0.47,104,104,36,-36
2022/3/10,66,40,0.6,53,53,13,-13
2022/3/11,45,31,0.76,38,38,7,-7
2022/3/12,10,8,0.88,9,9,1,-1
2022/3/13,6,4,0.82,5,5,1,-1
2022/3/14,51,17,0.42,34,34,17,-17
2022/3/15,81,31,0.51,56,56,25,-25
2022/3/16,125,33,0.47,79,79,46,-46
2022/3/17,53,29,0.48,41,41,12,-12
2022/3/18,60,34,0.64,47,47,13,-13
2022/3/19,13,7,0.57,10,10,3,-3
2022/3/20,9,5,0.42,7,7,2,-2
2022/3/21,37,21,0.74,29,29,8,-8
2022/3/22,52,28,0.51,40,40,12,-12
2022/3/23,52,26,0.41,39,39,13,-13
2022/3/24,38,28,0.79,33,33,5,-5
2022/3/25,25,15,0.41,20,20,5,-5
2022/3/26,2,2,1,2,2,0,0
2022/3/27,12,2,0.4,7,7,5,-5
2022/3/28,30,14,0.49,22,22,8,-8
2022/3/29,51,27,0.5,39,39,12,-12
2022/3/30,40,32,0.84,36,36,4,-4
2022/3/31,51,25,0.44,38,38,13,-13
2022/4/1,52,22,0.52,37,37,15,-15
2022/4/2,2,2,1,2,2,0,0
2022/4/3,3,3,1,3,3,0,0
2022/4/4,1,1,1,1,1,0,0
2022/4/5,7,3,0,5,5,2,-2
2022/4/6,29,7,0.33,18,18,11,-11
2022/4/7,36,26,0.76,31,31,5,-5
2022/4/8,53,19,0.41,36,36,17,-17
2022/4/9,3,3,1,3,3,0,0
2022/4/10,5,1,-0.12,3,3,2,-2
2022/4/11,27,15,0.6,21,21,6,-6
2022/4/12,44,32,0.71,38,38,6,-6
2022/4/13,59,33,0.66,46,46,13,-13
2022/4/14,63,37,0.73,50,50,13,-13
2022/4/15,27,11,0.58,19,19,8,-8
2022/4/16,3,1,0.39,2,2,1,-1
2022/4/17,4,2,0.69,3,3,1,-1
2022/4/18,79,19,0.25,49,49,30,-30
2022/4/19,30,16,0.55,23,23,7,-7
2022/4/20,40,22,0.53,31,31,9,-9
2022/4/21,55,17,0.32,36,36,19,-19
2022/4/22,25,9,0.28,17,17,8,-8
2022/4/23,7,7,1,7,7,0,0
2022/4/24,7,5,0.88,6,6,1,-1
2022/4/25,46,22,0.61,34,34,12,-12
2022/4/26,53,21,0.4,37,37,16,-16
2022/4/27,148,96,0.7,122,122,26,-26
2022/4/28,68,28,0.26,48,48,20,-20
2022/4/29,49,31,0.74,40,40,9,-9
