time,all_num_康龙化成,all_dic_score,康龙化成舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-11-09,46,16.00,0.03,31,31.00,15,-15.00
2021-11-10,10,4.00,0.40,7,7.00,3,-3.00
2021-11-11,18,2.00,0.44,10,10.00,8,-8.00
2021-11-12,7,3.00,0.13,5,5.00,2,-2.00
2021-11-13,1,1.00,1.00,1,1.00,0,0.00
2021-11-14,3,1.00,0.34,2,2.00,1,-1.00
2021-11-15,7,1.00,-0.21,4,4.00,3,-3.00
2021-11-16,11,-1.00,0.10,5,5.00,6,-6.00
2021-11-17,28,2.00,0.36,15,15.00,13,-13.00
2021-11-18,7,3.00,0.47,5,5.00,2,-2.00
2021-11-19,13,3.00,0.08,8,8.00,5,-5.00
2021-11-20,2,0.00,0.22,1,1.00,1,-1.00
2021-11-21,5,3.00,0.52,4,4.00,1,-1.00
2021-11-22,7,-1.00,0.14,3,3.00,4,-4.00
2021-11-23,13,-1.00,-0.01,6,6.00,7,-7.00
2021-11-24,14,4.00,0.43,9,9.00,5,-5.00
2021-11-25,6,2.00,0.39,4,4.00,2,-2.00
2021-11-26,12,-4.00,-0.22,4,4.00,8,-8.00
2021-11-27,3,1.00,-0.58,2,2.00,1,-1.00
2021-11-28,4,2.00,0.58,3,3.00,1,-1.00
2021-11-29,13,-1.00,0.13,6,6.00,7,-7.00
2021-11-30,29,-5.00,-0.00,12,12.00,17,-17.00
2021-12-01,20,-2.00,0.10,9,9.00,11,-11.00
2021-12-02,14,6.00,0.67,10,10.00,4,-4.00
2021-12-03,15,-5.00,-0.25,5,5.00,10,-10.00
2021-12-04,2,2.00,1.00,2,2.00,0,0.00
2021-12-05,4,4.00,1.00,4,4.00,0,0.00
2021-12-06,17,-1.00,0.25,8,8.00,9,-9.00
2021-12-07,10,4.00,0.60,7,7.00,3,-3.00
2021-12-08,24,4.00,0.39,14,14.00,10,-10.00
2021-12-09,18,-10.00,-0.26,4,4.00,14,-14.00
2021-12-10,19,-5.00,-0.36,7,7.00,12,-12.00
