time,all_num_高德红外,all_dic_score,高德红外舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-10-21,64,4.00,0.15,34,34.00,30,-30.00
2021-10-22,40,6.00,0.16,23,23.00,17,-17.00
2021-10-23,7,1.00,0.15,4,4.00,3,-3.00
2021-10-24,14,0.00,-0.01,7,7.00,7,-7.00
2021-10-25,79,-7.00,0.11,36,36.00,43,-43.00
2021-10-26,69,33.00,0.44,51,51.00,18,-18.00
2021-10-27,79,15.00,0.29,47,47.00,32,-32.00
2021-10-28,286,22.00,0.08,154,154.00,132,-132.00
2021-10-29,76,30.00,0.01,53,53.00,23,-23.00
2021-10-30,5,-1.00,-0.44,2,2.00,3,-3.00
2021-10-31,4,0.00,-0.02,2,2.00,2,-2.00
2021-11-01,47,-1.00,-0.18,23,23.00,24,-24.00
2021-11-02,83,19.00,0.15,51,51.00,32,-32.00
2021-11-03,50,14.00,0.49,32,32.00,18,-18.00
2021-11-04,48,16.00,0.44,32,32.00,16,-16.00
2021-11-05,49,13.00,0.22,31,31.00,18,-18.00
2021-11-06,6,6.00,1.00,6,6.00,0,0.00
2021-11-07,18,10.00,0.75,14,14.00,4,-4.00
2021-11-08,72,8.00,0.07,40,40.00,32,-32.00
2021-11-09,92,16.00,0.14,54,54.00,38,-38.00
2021-11-10,40,14.00,0.45,27,27.00,13,-13.00
2021-11-11,62,16.00,0.38,39,39.00,23,-23.00
2021-11-12,45,3.00,0.60,24,24.00,21,-21.00
2021-11-13,7,-1.00,-0.40,3,3.00,4,-4.00
2021-11-14,6,2.00,0.24,4,4.00,2,-2.00
2021-11-15,49,9.00,0.23,29,29.00,20,-20.00
2021-11-16,59,3.00,0.21,31,31.00,28,-28.00
2021-11-17,49,9.00,0.18,29,29.00,20,-20.00
2021-11-18,85,33.00,0.33,59,59.00,26,-26.00
2021-11-19,76,10.00,0.05,43,43.00,33,-33.00
2021-11-20,8,6.00,0.77,7,7.00,1,-1.00
2021-11-21,12,0.00,-0.56,6,6.00,6,-6.00
2021-11-22,44,2.00,0.29,23,23.00,21,-21.00
2021-11-23,72,16.00,0.26,44,44.00,28,-28.00
2021-11-24,70,16.00,0.02,43,43.00,27,-27.00
2021-11-25,91,15.00,0.16,53,53.00,38,-38.00
2021-11-26,83,25.00,0.31,54,54.00,29,-29.00
2021-11-27,9,3.00,0.58,6,6.00,3,-3.00
2021-11-28,8,0.00,0.24,4,4.00,4,-4.00
2021-11-29,49,13.00,0.34,31,31.00,18,-18.00
2021-11-30,55,1.00,-0.13,28,28.00,27,-27.00
2021-12-01,70,14.00,0.28,42,42.00,28,-28.00
2021-12-02,106,4.00,0.14,55,55.00,51,-51.00
2021-12-03,103,33.00,0.25,68,68.00,35,-35.00
2021-12-04,10,6.00,0.77,8,8.00,2,-2.00
2021-12-05,13,11.00,0.87,12,12.00,1,-1.00
2021-12-06,59,25.00,0.51,42,42.00,17,-17.00
2021-12-07,60,14.00,0.25,37,37.00,23,-23.00
2021-12-08,70,22.00,0.15,46,46.00,24,-24.00
2021-12-09,88,6.00,0.18,47,47.00,41,-41.00
2021-12-10,103,39.00,0.37,71,71.00,32,-32.00
2021-12-11,22,10.00,0.20,16,16.00,6,-6.00
2021-12-12,20,18.00,0.90,19,19.00,1,-1.00
2021-12-13,85,7.00,-0.11,46,46.00,39,-39.00
