time,all_num_迈瑞医疗,all_dic_score,迈瑞医疗舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-02-11,122,44.00,0.54,83,83.00,39,-39.00
2022-02-12,17,5.00,0.18,11,11.00,6,-6.00
2022-02-13,11,5.00,0.63,8,8.00,3,-3.00
2022-02-14,59,31.00,0.57,45,45.00,14,-14.00
2022-02-15,56,26.00,0.78,41,41.00,15,-15.00
2022-02-16,40,16.00,0.48,28,28.00,12,-12.00
2022-02-17,23,17.00,0.95,20,20.00,3,-3.00
2022-02-18,51,37.00,0.73,44,44.00,7,-7.00
2022-02-19,8,6.00,0.87,7,7.00,1,-1.00
2022-02-20,10,4.00,0.57,7,7.00,3,-3.00
2022-02-21,16,10.00,0.79,13,13.00,3,-3.00
2022-02-22,32,16.00,0.75,24,24.00,8,-8.00
2022-02-23,39,23.00,0.85,31,31.00,8,-8.00
2022-02-24,28,18.00,0.76,23,23.00,5,-5.00
2022-02-25,46,18.00,0.54,32,32.00,14,-14.00
2022-02-26,4,2.00,0.92,3,3.00,1,-1.00
2022-02-27,10,6.00,0.80,8,8.00,2,-2.00
2022-02-28,21,9.00,0.54,15,15.00,6,-6.00
2022-03-01,23,7.00,0.55,15,15.00,8,-8.00
2022-03-02,28,12.00,0.46,20,20.00,8,-8.00
2022-03-03,24,20.00,0.93,22,22.00,2,-2.00
2022-03-04,40,22.00,0.62,31,31.00,9,-9.00
2022-03-05,13,9.00,0.80,11,11.00,2,-2.00
2022-03-06,5,3.00,0.70,4,4.00,1,-1.00
2022-03-07,25,7.00,0.89,16,16.00,9,-9.00
2022-03-08,79,67.00,0.90,73,73.00,6,-6.00
2022-03-09,55,17.00,0.59,36,36.00,19,-19.00
2022-03-10,27,15.00,0.81,21,21.00,6,-6.00
2022-03-11,31,25.00,0.88,28,28.00,3,-3.00
2022-03-12,4,0.00,-0.19,2,2.00,2,-2.00
2022-03-13,8,8.00,1.00,8,8.00,0,0.00
2022-03-14,38,30.00,0.85,34,34.00,4,-4.00
2022-03-15,28,16.00,0.71,22,22.00,6,-6.00
2022-03-16,34,18.00,0.76,26,26.00,8,-8.00
2022-03-17,31,21.00,0.68,26,26.00,5,-5.00
2022-03-18,27,21.00,0.88,24,24.00,3,-3.00
2022-03-19,9,5.00,0.56,7,7.00,2,-2.00
2022-03-20,7,5.00,0.90,6,6.00,1,-1.00
2022-03-21,37,15.00,0.91,26,26.00,11,-11.00
2022-03-22,35,9.00,0.62,22,22.00,13,-13.00
2022-03-23,46,14.00,0.58,30,30.00,16,-16.00
2022-03-24,55,31.00,0.66,43,43.00,12,-12.00
2022-03-25,54,24.00,0.62,39,39.00,15,-15.00
2022-03-26,4,2.00,0.76,3,3.00,1,-1.00
2022-03-27,5,3.00,0.75,4,4.00,1,-1.00
2022-03-28,49,25.00,0.82,37,37.00,12,-12.00
2022-03-29,51,31.00,0.80,41,41.00,10,-10.00
2022-03-30,41,7.00,0.33,24,24.00,17,-17.00
2022-03-31,30,20.00,0.70,25,25.00,5,-5.00
2022-04-01,26,14.00,0.64,20,20.00,6,-6.00
2022-04-02,1,1.00,1.00,1,1.00,0,0.00
2022-04-04,3,3.00,1.00,3,3.00,0,0.00
2022-04-05,7,3.00,0.66,5,5.00,2,-2.00
2022-04-06,32,12.00,0.48,22,22.00,10,-10.00
2022-04-07,27,17.00,0.59,22,22.00,5,-5.00
2022-04-08,17,11.00,0.48,14,14.00,3,-3.00
2022-04-09,1,1.00,1.00,1,1.00,0,0.00
2022-04-10,4,2.00,0.63,3,3.00,1,-1.00
2022-04-11,27,19.00,0.69,23,23.00,4,-4.00
2022-04-12,41,21.00,0.56,31,31.00,10,-10.00
2022-04-13,25,15.00,0.65,20,20.00,5,-5.00
2022-04-14,27,19.00,0.82,23,23.00,4,-4.00
2022-04-15,45,23.00,0.58,34,34.00,11,-11.00
2022-04-16,4,4.00,1.00,4,4.00,0,0.00
2022-04-17,6,6.00,1.00,6,6.00,0,0.00
2022-04-18,35,17.00,0.75,26,26.00,9,-9.00
2022-04-19,114,84.00,0.78,99,99.00,15,-15.00
2022-04-20,219,129.00,0.79,174,174.00,45,-45.00
2022-04-21,82,56.00,0.77,69,69.00,13,-13.00
2022-04-22,33,19.00,0.74,26,26.00,7,-7.00
2022-04-23,6,4.00,0.74,5,5.00,1,-1.00
2022-04-24,18,10.00,0.77,14,14.00,4,-4.00
2022-04-25,43,31.00,0.80,37,37.00,6,-6.00
2022-04-26,52,24.00,0.62,38,38.00,14,-14.00
2022-04-27,45,25.00,0.77,35,35.00,10,-10.00
2022-04-28,36,22.00,0.80,29,29.00,7,-7.00
2022-04-29,62,8.00,0.22,35,35.00,27,-27.00
2022-04-30,5,5.00,1.00,5,5.00,0,0.00
2022-05-01,6,-4.00,-0.52,1,1.00,5,-5.00
2022-05-03,7,7.00,1.00,7,7.00,0,0.00
2022-05-04,6,4.00,0.74,5,5.00,1,-1.00
2022-05-05,67,39.00,0.83,53,53.00,14,-14.00
