time,all_num_百润股份,all_dic_score,百润股份舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-03-15,51,29.00,0.66,40,40.00,11,-11.00
2022-03-16,67,3.00,-0.49,35,35.00,32,-32.00
2022-03-17,48,20.00,0.46,34,34.00,14,-14.00
2022-03-18,32,18.00,0.58,25,25.00,7,-7.00
2022-03-19,9,1.00,0.15,5,5.00,4,-4.00
2022-03-20,5,5.00,1.00,5,5.00,0,0.00
2022-03-21,21,5.00,0.44,13,13.00,8,-8.00
2022-03-22,38,22.00,0.67,30,30.00,8,-8.00
2022-03-23,70,28.00,0.49,49,49.00,21,-21.00
2022-03-24,109,59.00,0.63,84,84.00,25,-25.00
2022-03-25,71,31.00,0.53,51,51.00,20,-20.00
2022-03-26,5,5.00,1.00,5,5.00,0,0.00
2022-03-27,9,5.00,0.48,7,7.00,2,-2.00
2022-03-28,53,21.00,0.41,37,37.00,16,-16.00
2022-03-29,47,21.00,0.48,34,34.00,13,-13.00
2022-03-30,55,25.00,0.49,40,40.00,15,-15.00
2022-03-31,26,6.00,0.13,16,16.00,10,-10.00
2022-04-01,22,4.00,0.29,13,13.00,9,-9.00
2022-04-02,5,1.00,0.44,3,3.00,2,-2.00
2022-04-03,4,2.00,0.40,3,3.00,1,-1.00
2022-04-04,4,2.00,0.51,3,3.00,1,-1.00
2022-04-05,5,3.00,0.77,4,4.00,1,-1.00
2022-04-06,35,11.00,0.49,23,23.00,12,-12.00
2022-04-07,36,8.00,0.53,22,22.00,14,-14.00
2022-04-08,32,4.00,0.16,18,18.00,14,-14.00
2022-04-09,5,5.00,1.00,5,5.00,0,0.00
2022-04-10,1,1.00,1.00,1,1.00,0,0.00
2022-04-11,50,22.00,0.08,36,36.00,14,-14.00
2022-04-12,48,18.00,0.52,33,33.00,15,-15.00
2022-04-13,34,16.00,0.56,25,25.00,9,-9.00
2022-04-14,52,26.00,0.54,39,39.00,13,-13.00
2022-04-15,29,5.00,0.35,17,17.00,12,-12.00
2022-04-16,15,9.00,0.70,12,12.00,3,-3.00
2022-04-17,3,1.00,0.43,2,2.00,1,-1.00
2022-04-18,15,5.00,0.22,10,10.00,5,-5.00
2022-04-19,37,19.00,0.79,28,28.00,9,-9.00
2022-04-20,37,21.00,0.63,29,29.00,8,-8.00
2022-04-21,23,15.00,0.70,19,19.00,4,-4.00
2022-04-22,37,17.00,0.54,27,27.00,10,-10.00
2022-04-23,10,6.00,0.64,8,8.00,2,-2.00
2022-04-24,8,2.00,0.49,5,5.00,3,-3.00
2022-04-25,96,72.00,0.84,84,84.00,12,-12.00
2022-04-26,173,73.00,0.51,123,123.00,50,-50.00
2022-04-27,144,70.00,0.53,107,107.00,37,-37.00
2022-04-28,24,14.00,0.64,19,19.00,5,-5.00
2022-04-29,30,24.00,0.88,27,27.00,3,-3.00
2022-04-30,8,4.00,0.40,6,6.00,2,-2.00
2022-05-01,1,1.00,1.00,1,1.00,0,0.00
